observation_date,prate
2014-07-01,#N/A
2014-08-01,10.73
2014-09-01,#N/A
2014-10-01,#N/A
2014-11-01,10.47
2014-12-01,#N/A
2015-01-01,#N/A
2015-02-01,9.85
2015-03-01,#N/A
2015-04-01,#N/A
2015-05-01,9.69
2015-06-01,#N/A
2015-07-01,#N/A
2015-08-01,9.80
2015-09-01,#N/A
2015-10-01,#N/A
2015-11-01,9.66
2015-12-01,#N/A
2016-01-01,#N/A
2016-02-01,10.03
2016-03-01,#N/A
2016-04-01,#N/A
2016-05-01,9.65
2016-06-01,#N/A
2016-07-01,#N/A
2016-08-01,9.64
2016-09-01,#N/A
2016-10-01,#N/A
2016-11-01,9.45
2016-12-01,#N/A
2017-01-01,#N/A
2017-02-01,10.05
2017-03-01,#N/A
2017-04-01,#N/A
2017-05-01,10.13
2017-06-01,#N/A
2017-07-01,#N/A
2017-08-01,9.76
2017-09-01,#N/A
2017-10-01,#N/A
2017-11-01,10.57
2017-12-01,#N/A
2018-01-01,#N/A
2018-02-01,10.22
2018-03-01,#N/A
2018-04-01,#N/A
2018-05-01,10.31
2018-06-01,#N/A
2018-07-01,#N/A
2018-08-01,10.08
2018-09-01,#N/A
2018-10-01,#N/A
2018-11-01,10.65
2018-12-01,#N/A
2019-01-01,#N/A
2019-02-01,10.36
2019-03-01,#N/A
2019-04-01,#N/A
2019-05-01,10.63
2019-06-01,#N/A
2019-07-01,#N/A
2019-08-01,10.07
2019-09-01,#N/A
2019-10-01,#N/A
2019-11-01,10.21
2019-12-01,#N/A
2020-01-01,#N/A
2020-02-01,9.63
